"branch_name","pr_number","state","merged_at","title","url"
"codex/version-agents-sdk-live-findings-20260605","101","MERGED","5/6/2026 21:41:08","Version Agents SDK live operability findings","https://github.com/universo-rey/cabina-universal-d/pull/101"
"codex/cabina-operating-system-consolidation-20260605","97","MERGED","5/6/2026 19:20:39","docs: consolidate cabina operating system canon","https://github.com/universo-rey/cabina-universal-d/pull/97"
"codex/cabina-full-automation-by-planes-20260605","98","MERGED","5/6/2026 19:58:45","feat: add cabina automation plane matrix","https://github.com/universo-rey/cabina-universal-d/pull/98"
"codex/power-platform-teams-governance-alm-20260603","81","CLOSED",,"Govern cabina agent dispatch and skill adapters","https://github.com/universo-rey/cabina-universal-d/pull/81"
"codex/power-platform-teams-governance-alm-20260603","74","MERGED","3/6/2026 19:10:05","Power Platform / Teams ALM Governance Provisioning","https://github.com/universo-rey/cabina-universal-d/pull/74"
"codex/agent-global-dirty-reconciliation-20260605","100","MERGED","5/6/2026 20:47:51","Reconcile global agent operability lane","https://github.com/universo-rey/cabina-universal-d/pull/100"
"codex/agent-global-operability-gate-queue-20260605","106","MERGED","5/6/2026 22:44:55","Prepare agent operability gate queue","https://github.com/universo-rey/cabina-universal-d/pull/106"
"codex/agent-global-operability-gated-backlog-20260605","104","MERGED","5/6/2026 22:09:44","Route agent operability gated backlog","https://github.com/universo-rey/cabina-universal-d/pull/104"
"codex/agent-global-operability-next-lane-execution-20260605","103","MERGED","5/6/2026 21:56:11","Execute agent global operability next lane","https://github.com/universo-rey/cabina-universal-d/pull/103"
"codex/agent-global-operability-semaphore-matrix-20260605","105","MERGED","5/6/2026 22:34:01","Add agent operability semaphore matrix","https://github.com/universo-rey/cabina-universal-d/pull/105"
"codex/post-pr-101-next-lane-selection-20260605","102","MERGED","5/6/2026 21:49:10","Record post PR101 next lane selection","https://github.com/universo-rey/cabina-universal-d/pull/102"
"codex/process-rescue-framework-20260605","99","MERGED","5/6/2026 20:28:47","Formalize multi-repo process rescue framework","https://github.com/universo-rey/cabina-universal-d/pull/99"
