canonical_id,source_system,source_path,repo,repo_id,surface,provider,connection_type,tenant_scope,gate_required,secret_required,secret_status,canonical_class,seed_decision,status,stop_condition,evidence_hash,blocked_reason
conn_canon_000001,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/.github/pull_request_template.md,SeshatSgin/sdu-canon,SDU_CANON,Power Platform Admin,Microsoft,Power Platform Admin,COURT_SDU_SESHAT,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,yes,externalized_required,template_only,reference_only,CANONICAL_REFERENCE_ONLY,dataverse_apply_without_explicit_sandbox_or_default_as_dev,19b46287ad062f688e512821c4787a468ff5623a19f49865d02d8f74d5e99a0c,
conn_canon_000002,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/.github/pull_request_template.md,SeshatSgin/sdu-canon,SDU_CANON,SharePoint,Microsoft,SharePoint,COURT_SDU_SESHAT,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,no,NO_SECRET_IN_REPO_DETECTED,template_only,reference_only,CANONICAL_REFERENCE_ONLY,microsoft_live_requested_without_governed_order,e7ba42fcf453e5f8e002e0a5be2651d32e1e0385cefec9c451c8a8d614c8a0ac,
conn_canon_000003,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CHAT_CONTEXT.md,SeshatSgin/sdu-canon,SDU_CANON,OpenAI API,OpenAI,OpenAI API,COURT_SDU_SESHAT,GATE_OPENAI_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,openai_api_live_requested_without_order,3e126ea5c2abdea5f06b3fc9fca357c4c3ec53af2153e7a0bd4f482921730889,
conn_canon_000004,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md,SeshatSgin/sdu-canon,SDU_CANON,Power Platform Admin,Microsoft,Power Platform Admin,COURT_SDU_SESHAT,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,dataverse_apply_without_explicit_sandbox_or_default_as_dev,ddae5c0a0cf5a9fd0cded525ba025c142a5c50227356ab74c0cdffa05aa735f4,
conn_canon_000005,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/CURRENT_STATE.md,SeshatSgin/sdu-canon,SDU_CANON,SharePoint,Microsoft,SharePoint,COURT_SDU_SESHAT,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,no,NO_SECRET_IN_REPO_DETECTED,pattern_reference,seed_now,CANONICAL_SEED_READY,microsoft_live_requested_without_governed_order,753f0275ca4d5e0fd32224f8d2ee683ab016ca6d3820275af9ad385d5a38228a,
conn_canon_000006,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md,SeshatSgin/sdu-canon,SDU_CANON,OpenAI API,OpenAI,OpenAI API,COURT_SDU_SESHAT,GATE_OPENAI_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,openai_api_live_requested_without_order,ffc0d7cc42499113b1e5a734677108d2cf9fbd7b39559654b6e2bb58ab399603,
conn_canon_000007,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md,SeshatSgin/sdu-canon,SDU_CANON,Power Platform Admin,Microsoft,Power Platform Admin,COURT_SDU_SESHAT,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,dataverse_apply_without_explicit_sandbox_or_default_as_dev,45bb289e31a4ef7360eb84fe2a2c09adb0c3013e8ec9b81537405d8c9d3cfe5b,
conn_canon_000008,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_DIVERGENCE_RECONCILIATION_APPLIED.md,SeshatSgin/sdu-canon,SDU_CANON,SharePoint,Microsoft,SharePoint,COURT_SDU_SESHAT,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,no,NO_SECRET_IN_REPO_DETECTED,pattern_reference,seed_now,CANONICAL_SEED_READY,microsoft_live_requested_without_governed_order,625451664584a24ad18956293167b608e3e9be8a074bee6af542554fcff0762b,
conn_canon_000009,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md,SeshatSgin/sdu-canon,SDU_CANON,Entra ID,Microsoft,Entra ID,COURT_SDU_SESHAT,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,microsoft_live_requested_without_governed_order,0273716c48a428afd99d4d2c5e69476fbc5ab386d859d796de9736b4e4c14002,
conn_canon_000010,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md,SeshatSgin/sdu-canon,SDU_CANON,OpenAI API,OpenAI,OpenAI API,COURT_SDU_SESHAT,GATE_OPENAI_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,openai_api_live_requested_without_order,e594ea8118f265a49277c3522c65330874402f5eb65fd6cabb719c92e464637f,
conn_canon_000011,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md,SeshatSgin/sdu-canon,SDU_CANON,Power Platform Admin,Microsoft,Power Platform Admin,COURT_SDU_SESHAT,GATE_POWER_PLATFORM_DEV_TARGET_EXPLICIT,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,dataverse_apply_without_explicit_sandbox_or_default_as_dev,c38e129c8a2ba72a27208aaa36ab880347315e4e6312bba656a29063c64c7e0f,
conn_canon_000012,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/SDU_KNOWLEDGE_DIVERGENCE_UNIFIED_PAGE.md,SeshatSgin/sdu-canon,SDU_CANON,SharePoint,Microsoft,SharePoint,COURT_SDU_SESHAT,GATE_MICROSOFT_LIVE_GOVERNED_ORDER,no,NO_SECRET_IN_REPO_DETECTED,pattern_reference,seed_now,CANONICAL_SEED_READY,microsoft_live_requested_without_governed_order,1e884f1afcb29f1c09a0ce16f8af49b20d585f8fbc9cf007cdf39c35ac791607,
conn_canon_000013,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/00_CONTEXT/START_HERE.md,SeshatSgin/sdu-canon,SDU_CANON,OpenAI API,OpenAI,OpenAI API,COURT_SDU_SESHAT,GATE_OPENAI_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,openai_api_live_requested_without_order,ecb8ce05ee940ef21b85e71f27efcb60b11ede344c534314239d943a28b405bf,
conn_canon_000014,connection_registry_local,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/sdu-canon/08_EVIDENCIA/2026-05-24_GATE_SDU_DIVERGENCE_RECONCILIATION_PROPAGATION/00_READBACK.md,SeshatSgin/sdu-canon,SDU_CANON,OpenAI API,OpenAI,OpenAI API,COURT_SDU_SESHAT,GATE_OPENAI_LIVE_GOVERNED_ORDER,yes,externalized_required,pattern_reference,seed_now,CANONICAL_SEED_READY,openai_api_live_requested_without_order,896182014ec0e4c9579eaa2cfbc7743c69580604ab4523b954254d8b139f62cc,
