"branch_canonica","matriz","key","value","estrategia","justificacion"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill_id","cabina-github-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill_id","cabina-teams-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill_id","cabina-sharepoint-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill_id","cabina-document-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","skill_id","cabina-superpowers-methodology-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill_id","cabina-github-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill_id","cabina-teams-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill_id","cabina-sharepoint-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill_id","cabina-document-plugin-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_USAGE_MATRIX.csv","skill_id","cabina-superpowers-methodology-adapter","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","rey-modo-evidencia-riesgo-handoff","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","rey-modo-gobernador-capacidades","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
"codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004",".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","skill_id","tcu-desarrollo-con-subagentes","FUSION_SEMANTICA","fila requerida por skill integrada en ISSUE-RECON-004; fusion puntual desde fuente para satisfacer catalogo, uso y metadata sin importar indice completo viejo"
